name,HSP_exp,HOMO,LUMO,V_m,Dipole,Hydrogen,chi,eta,HSP_DFT,HOMO_ev,LUMO_ev,formula,SMILES
Dimethyl-sulfoxide,12.93,-530883.8329,-9697.3455,644.4799,5.56156,1,2.8012,5.4014,3.879552023,-5.5019,-0.1005,C₂H₆OS,C[S](C)=O
acrylonitrile,10.5,-694156.254,-238718.734,538.6169,5.28694,0,4.834,4.72,7.9363281,-7.194,-2.474,C₃H₃N,C=CC#N
propionitrile,10.8,-769013.9718,-45215.6826,570.4449,5.34092,0,4.2192,7.5012,5.308367758,-7.9698,-0.4686,C₃H₅N,CCC#N
benzonitrile,8.4,-646624.7874,-234511.7264,914.4969,6.28193,0,4.5659,4.271,6.047300434,-6.7014,-2.4304,C₇H₅N,N#Cc1ccccc1
nitrobenzene,10.0,-661928.26,-349924.6115,947.4095,6.2123,0,5.24325,3.2335,7.859247185,-6.86,-3.6265,C₆H₅NO₂,[O-][N+](=O)c1ccccc1
